id,name_key,name,path,size,update_date,upload_date,admin_id,group_id,notice_id,fileboard_id,submit_id
11,3edc1c5e53a44c4fbf8c0277f644d107.jpg,Lighthouse.jpg,C:/temp/notice/2019-11-14,561276,"2019-11-14 16:29:35","2019-11-14 16:29:35",TA02,NULL,9,NULL,NULL
12,d6b4532b59074e4f83e2d558bdaa3c60.jpg,Chrysanthemum.jpg,C:/temp/notice/2019-11-14,879394,"2019-11-14 16:34:48","2019-11-14 16:34:48",TA03,NULL,15,NULL,NULL
13,3f5560d7e7654eec892910f85934e1e7.jpg,Desert.jpg,C:/temp/notice/2019-11-14,845941,"2019-11-14 16:35:26","2019-11-14 16:35:26",TA03,NULL,16,NULL,NULL
15,8a2252b1c80944ada5a8307b42508f6c.txt,Git_v0.3_20191117.txt,C:/temp/filenotice/2019-11-18,37141,"2019-11-18 15:51:03","2019-11-18 15:51:03",AD00,NULL,NULL,1,NULL
22,a36fd66fdde2400890ce9163f7dc7b49.jpg,Desert.jpg,C:/temp/notice/2019-11-18,845941,"2019-11-18 16:04:26","2019-11-18 16:04:26",AD00,NULL,17,NULL,NULL
23,4cb351bae41c40d6a30891d38d724b6f.jpg,Tulips.jpg,C:/temp/notice/2019-11-18,620888,"2019-11-18 16:04:47","2019-11-18 16:04:47",AD00,NULL,17,NULL,NULL
25,049a753f68cc43e0b4e2ad35bf961329.doc,170..doc,C:/temp/filenotice/2019-11-20,1211904,"2019-11-20 10:17:26","2019-11-20 10:17:26",CH01,NULL,NULL,2,NULL
26,57d86d8040674337a5e7cabd94ef57b6.doc,170_answer.doc,C:/temp/filenotice/2019-11-20,1054720,"2019-11-20 10:17:26","2019-11-20 10:17:26",CH01,NULL,NULL,2,NULL
27,c2e741650c8147698bcb24a8a2695853.pdf,git.ppt.pdf,C:/temp/filenotice/2019-11-20,593882,"2019-11-20 10:24:48","2019-11-20 10:24:48",TA02,NULL,NULL,3,NULL
28,a97d017d7db14183a0868d3ace1d55a3.txt,Git_v0.3_20191019.txt,C:/temp/filenotice/2019-11-20,28877,"2019-11-20 10:24:48","2019-11-20 10:24:48",TA02,NULL,NULL,3,NULL
29,289efacc6a004b8d9a0dea8edd1b29f8.pdf,Git_외부인_강의자료.pdf,C:/temp/filenotice/2019-11-20,18761911,"2019-11-20 10:24:48","2019-11-20 10:24:48",TA02,NULL,NULL,3,NULL
30,60478013b9ab4ff58a05dbe0017d16b3.pdf,progit_v2.1.1.pdf,C:/temp/filenotice/2019-11-20,12891076,"2019-11-20 10:24:48","2019-11-20 10:24:48",TA02,NULL,NULL,3,NULL
31,fe77718570bd4a2785fe1dfa83680f3e.pdf,01장.pdf,C:/temp/filenotice/2019-11-20,2655525,"2019-11-20 10:27:35","2019-11-20 10:27:35",TA02,NULL,NULL,4,NULL
32,294e1624c52f4a719edde498bedce77e.pdf,02장.pdf,C:/temp/filenotice/2019-11-20,2492564,"2019-11-20 10:27:35","2019-11-20 10:27:35",TA02,NULL,NULL,4,NULL
33,ca746191827f44019c10bcb1fdf4b227.pdf,03장.pdf,C:/temp/filenotice/2019-11-20,3673818,"2019-11-20 10:27:35","2019-11-20 10:27:35",TA02,NULL,NULL,4,NULL
34,b9381f6695c54fd68e69190213600607.pdf,04장.pdf,C:/temp/filenotice/2019-11-20,3480221,"2019-11-20 10:27:35","2019-11-20 10:27:35",TA02,NULL,NULL,4,NULL
35,1f5d38606a494ec99bcfcb7d2158e75e.pdf,05장.pdf,C:/temp/filenotice/2019-11-20,3631483,"2019-11-20 10:27:35","2019-11-20 10:27:35",TA02,NULL,NULL,4,NULL
36,ba987fbdb9314fb88fa1c381faf91742.pdf,06장.pdf,C:/temp/filenotice/2019-11-20,2689108,"2019-11-20 10:27:35","2019-11-20 10:27:35",TA02,NULL,NULL,4,NULL
37,e91db80afd5643cb977661692aa12ad2.pdf,07장.pdf,C:/temp/filenotice/2019-11-20,2918088,"2019-11-20 10:27:35","2019-11-20 10:27:35",TA02,NULL,NULL,4,NULL
38,c291ba3eb1db49ab9977d0aa6c0cc7ae.zip,"NIO 예제파일들.zip",C:/temp/filenotice/2019-11-20,30544,"2019-11-20 10:34:24","2019-11-20 10:34:24",TA02,NULL,NULL,5,NULL
39,8045e2f3fa76402f81ceddf2ef18fd7d.zip,chap01.zip,C:/temp/filenotice/2019-11-20,635,"2019-11-20 10:52:32","2019-11-20 10:52:32",TA02,NULL,NULL,6,NULL
40,a7cf3a07a6cc41fc866933b150658402.7z,chap03.7z,C:/temp/filenotice/2019-11-20,3529,"2019-11-20 10:54:01","2019-11-20 10:54:01",TA02,NULL,NULL,7,NULL
41,16300b3fef404aa5b46b7a8dcf52b4d6.7z,chap02.7z,C:/temp/filenotice/2019-11-20,2352,"2019-11-20 10:54:01","2019-11-20 10:54:01",TA02,NULL,NULL,7,NULL
42,74b70da065eb4e7a8e6ae36aff4b1230.7z,예제소스.7z,C:/temp/filenotice/2019-11-20,20786,"2019-11-20 10:55:48","2019-11-20 10:55:48",TA02,NULL,NULL,8,NULL
43,bf0e630dea414ddaacefd0e6b10b6763.7z,chap11.7z,C:/temp/filenotice/2019-11-20,12119,"2019-11-20 10:58:14","2019-11-20 10:58:14",TA02,NULL,NULL,9,NULL
44,f5874fefd73e441ebb0685b177b68c54.7z,chap12.7z,C:/temp/filenotice/2019-11-20,5491,"2019-11-20 10:58:14","2019-11-20 10:58:14",TA02,NULL,NULL,9,NULL
45,f3d1294798df4c08a51ae2a0d96858fb.7z,chap13.7z,C:/temp/filenotice/2019-11-20,3473,"2019-11-20 10:58:14","2019-11-20 10:58:14",TA02,NULL,NULL,9,NULL
46,d7aa85f94f5f4280b4fc6712031d91e0.7z,chap14.7z,C:/temp/filenotice/2019-11-20,4876,"2019-11-20 10:58:14","2019-11-20 10:58:14",TA02,NULL,NULL,9,NULL
47,a47793cb0c6d49d0af1e303d072c9e91.7z,chap15.7z,C:/temp/filenotice/2019-11-20,5481,"2019-11-20 10:58:14","2019-11-20 10:58:14",TA02,NULL,NULL,9,NULL
48,0da3c07e016243319ab0454df30e67e2.7z,chap16.7z,C:/temp/filenotice/2019-11-20,6053,"2019-11-20 10:58:14","2019-11-20 10:58:14",TA02,NULL,NULL,9,NULL
49,acae70982ec849a29a085b032b127a7b.pdf,"[에이콘아카데미-인재 추천 카드]_핑거포인트랩.pdf",C:/temp/filenotice/2019-11-20,198385,"2019-11-20 11:09:14","2019-11-20 11:09:14",AD00,NULL,NULL,10,NULL
50,7fc965d449da4f0c95dcb522fe9d0e9b.pdf,"[에이콘아카데미-인재 추천 카드]_핑거포인트랩.pdf",C:/temp/filenotice/2019-11-20,198385,"2019-11-20 11:10:36","2019-11-20 11:10:36",AD00,NULL,NULL,11,NULL
51,054ea89d8f9142fab3fd03dd5c5f091a.7z,자바연습문제(160문제)_2019_07_22수정본.7z,C:/temp/filenotice/2019-11-20,392373,"2019-11-20 11:11:38","2019-11-20 11:11:38",AD00,NULL,NULL,12,NULL
52,1574233257991Git_v0.3_20191019.txt,Git_v0.3_20191019.txt,C:/Temp/Assignment/,29489,"2019-11-20 16:00:58","2019-11-20 16:00:58",NULL,5,NULL,NULL,12
53,"1574303773224과제 제출 파일.txt","과제 제출 파일.txt",C:/Temp/Assignment/,2017,"2019-11-21 11:36:13","2019-11-21 11:36:13",NULL,5,NULL,NULL,13
